,epoch,minibatch,running_loss
0,0,99,221.81264698505402
1,0,199,184.72662591934204
2,0,299,181.98504614830017
3,0,399,174.10332369804382
4,0,499,172.84642457962036
5,0,599,167.31510519981384
6,0,699,168.9272643327713
7,0,799,162.72277212142944
8,0,899,167.2244359254837
9,0,999,164.46518564224243
10,0,1099,161.8273493051529
11,0,1199,161.11467826366425
12,0,1299,158.79456758499146
13,0,1399,160.05845975875854
14,0,1499,159.94735515117645
15,1,99,159.10468232631683
16,1,199,154.11228013038635
17,1,299,154.184135556221
18,1,399,152.6288616657257
19,1,499,153.9901463985443
20,1,599,152.54945719242096
21,1,699,154.05965077877045
22,1,799,149.4309710264206
23,1,899,151.7435073852539
24,1,999,149.0852711200714
25,1,1099,149.12938630580902
26,1,1199,150.47817623615265
27,1,1299,148.55396401882172
28,1,1399,152.22700536251068
29,1,1499,151.27827262878418
30,2,99,149.79308331012726
31,2,199,148.86009073257446
32,2,299,148.8818427324295
33,2,399,147.48638343811035
34,2,499,147.58319973945618
35,2,599,147.50842702388763
36,2,699,150.69472873210907
37,2,799,145.26303100585938
38,2,899,147.63597667217255
39,2,999,145.76057600975037
40,2,1099,146.0889265537262
41,2,1199,147.4277571439743
42,2,1299,145.34715855121613
43,2,1399,148.58509814739227
44,2,1499,148.06192934513092
45,3,99,146.44526958465576
46,3,199,146.22214150428772
47,3,299,146.7598431110382
48,3,399,145.30105638504028
49,3,499,145.10276770591736
50,3,599,145.3209787607193
51,3,699,148.25156044960022
52,3,799,143.28266763687134
53,3,899,145.4747313261032
54,3,999,143.243714094162
55,3,1099,143.75991356372833
56,3,1199,145.2452142238617
57,3,1299,143.3057826757431
58,3,1399,146.51044058799744
59,3,1499,146.17874097824097
60,4,99,144.6407984495163
61,4,199,144.1769279241562
62,4,299,145.4857929944992
63,4,399,143.82981097698212
64,4,499,143.419513463974
65,4,599,143.43950855731964
66,4,699,145.96534550189972
67,4,799,141.47121560573578
68,4,899,143.5764206647873
69,4,999,141.75753045082092
70,4,1099,142.0174686908722
71,4,1199,143.52886736392975
72,4,1299,141.30116546154022
73,4,1399,144.43529307842255
74,4,1499,144.4213845729828
75,5,99,143.3988184928894
76,5,199,142.3388923406601
77,5,299,143.72258841991425
78,5,399,142.331014752388
79,5,499,141.8770091533661
80,5,599,142.06983852386475
81,5,699,144.14042353630066
82,5,799,139.91748678684235
83,5,899,141.91790568828583
84,5,999,140.0229139328003
85,5,1099,140.47977697849274
86,5,1199,141.841987490654
87,5,1299,139.6024693250656
88,5,1399,142.50139153003693
89,5,1499,142.57592272758484
90,6,99,141.91048765182495
91,6,199,140.4822622537613
92,6,299,141.48569977283478
93,6,399,140.64964079856873
94,6,499,140.35094952583313
95,6,599,140.41597294807434
96,6,699,142.61485385894775
97,6,799,138.39982879161835
98,6,899,140.0281159877777
99,6,999,138.05661141872406
100,6,1099,138.53248810768127
101,6,1199,139.9601583480835
102,6,1299,137.66002905368805
103,6,1399,140.8907185792923
104,6,1499,140.83906078338623
105,7,99,140.0911204814911
106,7,199,138.42263066768646
107,7,299,139.02220356464386
108,7,399,138.96364903450012
109,7,499,138.575781583786
110,7,599,138.9334124326706
111,7,699,140.79436099529266
112,7,799,136.46287393569946
113,7,899,137.36365795135498
114,7,999,135.9652568101883
115,7,1099,136.0156192779541
116,7,1199,137.18149054050446
117,7,1299,135.28550851345062
118,7,1399,138.1789754629135
119,7,1499,138.2105244398117
120,8,99,137.9148473739624
121,8,199,136.02844953536987
122,8,299,136.39168453216553
123,8,399,136.35262548923492
124,8,499,136.40685725212097
125,8,599,136.6832333803177
126,8,699,138.23348009586334
127,8,799,134.33297061920166
128,8,899,134.07815957069397
129,8,999,132.90713691711426
130,8,1099,132.8411167860031
131,8,1199,134.10540533065796
132,8,1299,131.78531658649445
133,8,1399,134.31184101104736
134,8,1499,135.379953622818
135,9,99,135.73642134666443
136,9,199,133.13079583644867
137,9,299,133.03045046329498
138,9,399,132.3953377008438
139,9,499,133.9157817363739
140,9,599,133.64477241039276
141,9,699,134.85379999876022
142,9,799,131.28335845470428
143,9,899,129.76584881544113
144,9,999,128.47165775299072
145,9,1099,128.33146560192108
146,9,1199,129.1812006831169
147,9,1299,126.86707371473312
148,9,1399,129.01674735546112
149,9,1499,131.36376345157623
